"","COMID"
"1603",8549733
"1604",8551705
"1605",8549673
"1606",8549671
"1607",8551973
"1608",8552699
"1609",8551929
"1610",8551955
"1611",8551935
"1612",8551897
"1613",8551869
"1614",8552151
"1615",8552745
"1616",8552131
"1617",8552013
"1618",8552709
"1619",8551987
"1620",8551877
"1621",8551873
"1622",8551785
"1623",8551713
"1624",8549683
"1625",8549631
"1626",8549551
"1627",8549477
"1628",8549455
"1629",8549361
"1630",8549329
"1631",8549313
"1632",8549287
"1633",8549229
"1634",8549685
"1635",8550119
"1636",8549663
"1637",8549653
"1638",8549625
"1639",8549597
"1640",8549537
"1641",8549469
"1642",8549411
"1643",8549363
"1644",8549331
"1645",8549299
"1646",8549259
"1647",8549235
"1648",8549209
"1649",8549863
"1650",8549895
"1651",8549861
"1652",8549857
"1653",8548969
"1654",8548925
"1655",8548859
"1656",8548847
"1657",8548817
"1658",8548799
"1659",8548715
"1660",8549847
"1661",8548655
"1662",8548651
"1663",8549499
"1664",8550101
"1665",8550185
"1666",8549945
"1667",8549489
"1668",8549413
"1669",8549383
"1670",8549269
"1671",8549101
"1672",8549069
"1673",8550109
"1674",8549637
"1675",8549655
"1676",8549669
"1677",8549889
"1678",8549679
"1679",8549713
"1680",8549741
"1681",8549739
"1682",8551889
"1683",8551937
"1684",8552517
"1685",8551921
"1686",8552513
"1687",8551879
"1688",8551901
"1689",8551911
"1690",8551933
"1691",8551951
"1692",8552765
"1693",8552105
"1694",8552117
"1695",8552525
"1696",8552673
"1697",8552209
"1698",8552255
"1699",8552299
"1700",8552359
"1701",8552561
"1702",8552321
"1703",8552355
"1704",8552341
"1705",8552361
"1706",8552377
"1707",8552411
"1708",8552427
"1709",8552245
"1710",8552669
"1711",8552311
"1712",8552331
"1713",8552421
"1714",8552445
"1715",8552449
"1716",8547403
"1717",8547419
"1718",8557967
"1719",8550899
"1720",8550911
"1721",8550923
"1722",8550933
"1723",8550971
"1724",8550979
"1725",8551007
"1726",8551041
"1727",8551071
"1728",8551109
"1729",8551131
"1730",8551133
"1731",8551155
"1732",8551171
"1733",8551191
"1734",8551227
"1735",8551231
"1736",8547263
"1737",8547849
"1738",8547301
"1739",8550837
"1740",8551317
"1741",8547415
"1742",8550885
"1743",8550891
"1744",8550903
"1745",8550907
"1746",8550921
"1747",8550957
"1748",8551001
"1749",8551097
"1750",8551113
"1751",8551135
"1752",8547089
"1753",8547865
"1754",8547083
"1755",8547167
"1756",8547193
"1757",8547245
"1758",8547267
"1759",8547401
"1760",8547407
"1761",8550825
"1762",8550869
"1763",8550909
