"","COMID"
"718",8505514
"719",8505528
"720",8505542
"721",8505538
"722",8507996
"723",8514434
"724",8508026
"725",8507156
"726",8507992
"727",8507964
"728",8507100
"729",8507092
"730",8507026
"731",8507000
"732",8506916
"733",8506444
"734",8506340
"735",8507844
"736",8506306
"737",8506154
"738",8506064
"739",8505930
"740",8505418
"741",8507484
"742",8505136
"743",8507464
"744",8506382
"745",8506360
"746",8506350
"747",8507850
"748",8506342
"749",8506418
"750",8507586
"751",8506476
"752",8507584
"753",8506428
"754",8507582
"755",8503220
"756",8503740
"757",8503246
"758",8503290
"759",8503326
"760",8503336
"761",8503366
"762",8503342
"763",8506462
"764",8507590
"765",8506432
"766",8506422
"767",8507842
"768",8506308
"769",8506182
"770",8506036
"771",8506040
"772",8502542
"773",8502566
"774",8507142
"775",8508196
"776",8503248
"777",8503260
"778",8503802
"779",8514450
"780",8503798
"781",8503288
"782",8503754
"783",8503790
"784",8503750
"785",8503278
"786",8503242
"787",8503234
"788",8503708
"789",8503354
"790",8503866
"791",8503372
"792",8503346
"793",8503872
"794",8503352
"795",8503370
"796",8503332
"797",8503360
"798",8503868
"799",8503330
"800",8503304
"801",8503836
"802",8503840
"803",8503256
"804",8503286
"805",8503828
"806",8503724
"807",8503230
"808",8503720
"809",8503210
"810",8503208
"811",8503676
"812",8503688
"813",8503192
"814",8503176
"815",8503178
"816",8503168
"817",8503616
"818",8503190
"819",8514446
"820",8503672
"821",8503716
"822",8503180
"823",8503692
"824",8503188
"825",8503682
"826",8503558
"827",8503784
"828",8503786
"829",8503272
"830",8503266
"831",8503876
"832",8503874
"833",8503340
"834",8503200
"835",8503822
"836",8503812
"837",8514454
"838",8503808
"839",8514452
"840",8503842
"841",8503804
"842",8503880
"843",8503264
"844",8503348
"845",8503152
"846",8503648
"847",8503632
"848",8503684
"849",8503184
"850",8503780
"851",8503742
"852",8503736
"853",8503928
"854",8503732
"855",8507734
"856",8507350
"857",8507274
"858",8503774
"859",8508056
"860",8514440
"861",8507326
"862",8507308
"863",8508030
"864",8507180
"865",8508028
"866",8507206
"867",8507190
"868",8507724
"869",8514426
"870",8508002
"871",8507198
"872",8508000
"873",8507228
"874",8507212
"875",8507218
"876",8507220
"877",8507202
"878",8507140
"879",8507126
"880",8506972
"881",8508156
"882",8507662
"883",8506836
"884",8506834
"885",8506794
"886",8507666
"887",8506814
"888",8507646
"889",8506738
"890",8506674
"891",8506750
"892",8506742
"893",8507878
"894",8506670
"895",8506650
"896",8506566
"897",8506646
"898",8506682
"899",8506638
"900",8506606
"901",8507872
"902",8506600
"903",8506514
"904",8506628
"905",8508134
"906",8506542
"907",8507606
"908",8506538
"909",8507604
"910",8508108
"911",8506548
"912",8506576
"913",8507870
"914",8506612
"915",8506510
"916",8506436
"917",8506066
"918",8506028
"919",8505958
"920",8505842
"921",8505920
"922",8506052
"923",8506060
"924",8506252
"925",8506276
"926",8505986
"927",8505838
"928",8505916
"929",8505858
"930",8505788
"931",8505846
"932",8507836
"933",8505776
"934",8505750
"935",8505682
"936",8505666
"937",8505562
"938",8505552
"939",8505472
"940",8508082
"941",8505438
"942",8505358
"943",8505364
"944",8505400
"945",8507790
"946",8507800
"947",8507792
"948",8505394
"949",8507794
"950",8505354
"951",8505286
"952",8505414
"953",8505348
"954",8505298
"955",8505184
"956",8505142
"957",8505122
"958",8508074
"959",8504900
"960",8504936
"961",8504920
"962",8504786
"963",8504946
"964",8504890
"965",8504754
"966",8504854
"967",8504828
"968",8504740
"969",8501802
"970",8501790
"971",8504732
"972",8507754
"973",8501800
"974",8504702
"975",8501798
"976",8504722
"977",8501796
"978",8504710
"979",8504876
"980",8504822
"981",8501736
"982",8501760
"983",8501740
"984",8501646
"985",8501660
"986",8502036
"987",8501680
"988",8501682
"989",8501688
"990",8501694
"991",8501746
"992",8502068
"993",8501696
"994",8501606
"995",8501588
"996",8501610
"997",8501592
"998",8501618
"999",8501620
"1000",8501706
"1001",8501684
"1002",8501602
"1003",8501580
"1004",8501604
"1005",8501708
"1006",8501530
"1007",8502588
"1008",8502818
"1009",8502576
"1010",8502600
"1011",8502592
"1012",8502598
"1013",8502820
"1014",8502602
"1015",8502590
"1016",8502604
"1017",8501558
"1018",8502606
"1019",8502788
"1020",8502610
"1021",8502644
"1022",8502678
"1023",8502650
"1024",8501550
"1025",8501548
"1026",8501538
"1027",8502514
"1028",8502522
"1029",8502524
"1030",8502516
"1031",8501918
"1032",8501528
"1033",8501496
"1034",8501590
"1035",8501566
"1036",8501776
"1037",8502096
"1038",8501792
"1039",8504742
"1040",8504840
"1041",8504790
"1042",8504756
"1043",8504820
"1044",8504848
"1045",8504940
"1046",8504956
"1047",8504904
"1048",8505050
"1049",8505044
"1050",8505078
"1051",8505118
"1052",8505040
"1053",8505048
"1054",8505146
"1055",8505178
"1056",8505214
"1057",8505188
"1058",8505204
"1059",8505230
"1060",8505306
"1061",8505296
"1062",8505304
"1063",8505318
"1064",8505422
"1065",8507512
"1066",8505504
"1067",8505452
"1068",8505592
"1069",8505696
"1070",8505742
"1071",8507824
"1072",8505658
"1073",8505816
"1074",8505888
"1075",8505890
"1076",8505902
"1077",8505944
"1078",8505978
"1079",8506072
"1080",8506138
"1081",8506168
"1082",8506172
"1083",8506150
"1084",8506316
"1085",8506286
"1086",8506348
"1087",8506372
"1088",8506110
"1089",8506112
"1090",8507552
"1091",8506108
"1092",8506102
"1093",8506450
"1094",8508126
"1095",8506498
"1096",8506478
"1097",8506580
"1098",8506622
"1099",8506712
"1100",8506720
"1101",8506716
"1102",8506684
"1103",8506776
"1104",8506784
"1105",8506728
"1106",8507904
"1107",8507902
"1108",8506636
"1109",8506672
"1110",8507884
"1111",8506676
"1112",8506680
"1113",8506698
"1114",8506708
"1115",8506774
"1116",8506788
"1117",8506594
"1118",8507610
"1119",8506610
"1120",8506616
"1121",8506748
"1122",8508148
"1123",8506856
"1124",8506858
"1125",8506874
"1126",8506872
"1127",8506840
"1128",8506892
"1129",8506910
"1130",8506922
"1131",8506932
"1132",8506994
"1133",8506998
"1134",8507008
"1135",8507688
"1136",8507744
"1137",8514416
"1138",8507956
"1139",8506988
"1140",8507068
"1141",8507952
"1142",8507146
"1143",8508004
"1144",8507994
"1145",8507124
"1146",8507722
"1147",8514436
"1148",8508038
"1149",8507196
"1150",8508042
"1151",8514438
"1152",8503142
"1153",8503618
"1154",8503134
"1155",8503222
"1156",8503796
"1157",8503794
"1158",8503172
"1159",8503680
"1160",8503166
"1161",8503658
"1162",8503158
"1163",8503146
"1164",8503710
"1165",8503218
"1166",8503746
"1167",8503194
"1168",8503654
"1169",8503696
"1170",8503198
"1171",8503162
"1172",8503614
"1173",8503610
"1174",8503144
"1175",8503844
"1176",8503320
"1177",8503832
"1178",8503316
"1179",8503314
"1180",8503300
"1181",8503296
"1182",8503268
"1183",8503310
"1184",8503824
"1185",8503906
"1186",8503730
"1187",8503560
"1188",8503694
"1189",8503204
"1190",8503894
"1191",8505684
"1192",8505720
"1193",8505160
"1194",8501408
"1195",8501442
"1196",8501458
"1197",8501470
"1198",8501478
"1199",8501490
"1200",8501502
"1201",8503334
"1202",8503810
"1203",8503936
"1204",8503646
"1205",8503136
"1206",8503956
"1207",8514462
"1208",8506942
"1209",8507674
"1210",8506950
"1211",8508194
"1212",8504932
"1213",8506974
"1214",8507934
"1215",8507938
"1216",8507942
"1217",8507072
"1218",8507702
"1219",8508032
"1220",8514414
"1221",8507946
"1222",8503562
"1223",8503564
"1224",8503772
"1225",8503756
"1226",8514448
"1227",8503254
"1228",8514292
"1229",8506198
"1230",8506200
"1231",8506194
"1232",8506196
"1233",8506260
"1234",8506270
"1235",8507638
"1236",8506766
"1237",8506778
"1238",8506758
"1239",8506764
"1240",8506704
"1241",8514404
"1242",8503640
"1243",8503552
"1244",8506744
"1245",8504922
"1246",8507102
"1247",8503748
"1248",8503926
"1249",8503186
"1250",8507330
"1251",8503838
"1252",8508062
"1253",8506984
"1254",8506174
"1255",8507620
"1256",8514260
"1257",8508014
"1258",8507174
"1259",8507188
"1260",8503148
"1261",8503664
"1262",8508016
"1263",8503154
"1264",8503556
"1265",8514408
"1266",8501506
"1267",8502834
"1268",8501524
"1269",8501968
"1270",8504962
"1271",8504948
"1272",25293863
"1273",8503620
"1274",8503608
"1275",8503602
"1276",8503598
"1277",8501972
"1278",8501980
"1279",8501978
"1280",8501976
"1281",8501974
"1282",8502008
"1283",8502006
"1284",8502004
"1285",8501998
"1286",8502076
"1287",8502074
"1288",8502070
"1289",8502060
"1290",8514464
"1291",8507778
"1292",8507772
"1293",8507756
"1294",8502106
"1295",8502058
"1296",8502056
"1297",8502050
"1298",8502040
"1299",8502034
"1300",8502028
"1301",8502026
"1302",8502022
"1303",8502018
"1304",8502016
"1305",8502014
"1306",8502010
"1307",8507820
"1308",8508192
"1309",8507822
"1310",8507806
"1311",8507798
"1312",8507802
"1313",8507808
"1314",8507988
"1315",8507962
"1316",8503888
"1317",8503884
"1318",8503878
"1319",8507832
"1320",8507828
"1321",8507858
"1322",8507862
"1323",8507860
"1324",8507892
"1325",8507894
"1326",8514412
"1327",8507920
"1328",8503622
"1329",8503636
"1330",8503962
"1331",8503918
"1332",8503670
"1333",932080025
"1334",9896950
"1335",9896964
"1336",9896934
"1337",9896742
"1338",9896922
"1339",9896256
"1340",9896732
"1341",9894904
"1342",9894714
"1343",9894708
"1344",9894898
"1345",9894892
"1346",9894666
"1347",9894658
"1348",9894664
"1349",9896980
"1350",9894674
"1351",9894942
"1352",9896740
"1353",9897302
"1354",9896326
"1355",9897216
"1356",9896886
"1357",9897002
"1358",9896888
"1359",9896336
"1360",9897934
"1361",9896968
"1362",9897330
"1363",9896758
"1364",9896770
"1365",9896768
"1366",9896288
"1367",9896276
"1368",9896754
"1369",9896262
"1370",9897884
"1371",9896938
"1372",9894716
"1373",9896930
"1374",9897882
"1375",9894894
"1376",9896940
"1377",9896916
"1378",9896884
"1379",9897886
"1380",9896730
"1381",9894718
"1382",9894690
"1383",9896748
"1384",9896954
"1385",9896946
"1386",9896998
"1387",9896976
"1388",9897894
"1389",9896978
"1390",9897212
"1391",9896772
"1392",9894948
"1393",9894662
"1394",9894890
"1395",9894944
"1396",9894710
"1397",9897868
"1398",9894676
"1399",9894888
"1400",9896264
"1401",9896268
"1402",9896274
"1403",9897004
"1404",9894884
"1405",9896962
"1406",9896974
"1407",9897892
"1408",9896918
"1409",9894702
"1410",9894936
"1411",25289227
"1412",25289231
"1413",25289233
"1414",9897304
"1415",9897308
"1416",9896984
"1417",9896986
"1418",8491452
"1419",8491730
"1420",8491728
"1421",8491156
"1422",8491148
"1423",8491124
"1424",8491108
"1425",8491070
"1426",8493596
"1427",8493556
"1428",8493522
"1429",8493486
"1430",8493448
"1431",8494210
"1432",8493350
"1433",8493288
"1434",8493282
"1435",8493276
"1436",8493234
"1437",8493204
"1438",8493060
"1439",8493146
"1440",8494062
"1441",8494056
"1442",8494054
"1443",8492968
"1444",8494042
"1445",8492870
"1446",8492818
"1447",8492794
"1448",8492752
"1449",8494016
"1450",8490308
"1451",8490040
"1452",8490304
"1453",8490016
"1454",8490012
"1455",8490290
"1456",8490288
"1457",8489914
"1458",8489900
"1459",8489826
"1460",8489898
"1461",8490404
"1462",8490402
"1463",8489788
"1464",8490384
"1465",8489786
"1466",8489806
"1467",8489812
"1468",8493134
"1469",8493196
"1470",8493292
"1471",8493254
"1472",8493184
"1473",8494130
"1474",8494064
"1475",8489564
"1476",8489542
"1477",8489538
"1478",8489534
"1479",8489524
"1480",8490244
"1481",8489492
"1482",8489172
"1483",8490242
"1484",8489498
"1485",8490240
"1486",8489464
"1487",8489432
"1488",8489376
"1489",8489364
"1490",8489358
"1491",8489350
"1492",8489342
"1493",8489346
"1494",8489328
"1495",8490226
"1496",8489290
"1497",8489280
"1498",8489266
"1499",8489260
"1500",8489250
"1501",8489264
"1502",8489262
"1503",8490220
"1504",8489240
"1505",8489232
"1506",8489594
"1507",8489620
"1508",8489648
"1509",8489660
"1510",8489646
"1511",8489632
"1512",8489634
"1513",8490258
"1514",8489554
"1515",8489558
"1516",8489586
"1517",8489592
"1518",8489600
"1519",8489602
"1520",8489572
"1521",8489568
"1522",8489550
"1523",8489532
"1524",8489504
"1525",8489496
"1526",8489458
"1527",8489442
"1528",8489426
"1529",8489380
"1530",8489934
"1531",8489916
"1532",8489894
"1533",8489882
"1534",8489868
"1535",8489846
"1536",8489858
"1537",8490274
"1538",8489942
"1539",8492938
"1540",8492944
"1541",8492954
"1542",8492956
"1543",8494038
"1544",8492926
"1545",8492922
"1546",8492916
"1547",8492900
"1548",8492864
"1549",8492872
"1550",8492834
"1551",8492824
"1552",8492822
"1553",8492816
"1554",8492806
"1555",8492856
"1556",8494030
"1557",8492860
"1558",8492854
"1559",8492792
"1560",8493674
"1561",8493666
"1562",8493658
"1563",8493624
"1564",8493590
"1565",8493564
"1566",8493548
"1567",8493506
"1568",8493442
"1569",8494090
"1570",8494098
"1571",8493546
"1572",8494092
"1573",8493512
"1574",8493782
"1575",8493774
"1576",8494256
"1577",8493750
"1578",8493724
"1579",8493722
"1580",8494254
"1581",8493718
"1582",8493726
"1583",8494378
"1584",8493308
"1585",8493320
"1586",8494084
"1587",8493468
"1588",8494086
"1589",8489184
"1590",8489188
"1591",8489190
"1592",8490328
"1593",8489174
"1594",8489180
"1595",8493820
"1596",8494300
"1597",8496976
"1598",8491040
"1599",8491586
"1600",8491562
"1601",8491014
"1602",8490990
"1603",8490984
"1604",8490958
"1605",8490946
"1606",8490932
"1607",8490918
"1608",8490916
"1609",8490978
"1610",8491538
"1611",8491408
"1612",8491076
"1613",8491600
"1614",8491082
"1615",8491064
"1616",8491060
"1617",8491020
"1618",8491044
"1619",8493452
"1620",8493408
"1621",8493376
"1622",8493360
"1623",8493216
"1624",8491428
"1625",8491638
"1626",8491426
"1627",8491066
"1628",8491570
"1629",8491038
"1630",8491566
"1631",8493796
"1632",8494258
"1633",8493756
"1634",8493736
"1635",8493754
"1636",8490962
"1637",8491518
"1638",8490954
"1639",8490924
"1640",8490910
"1641",8493200
"1642",8494228
"1643",8494080
"1644",8493296
"1645",8493334
"1646",8493362
"1647",8493338
"1648",8493262
"1649",8493256
"1650",8493220
"1651",8493194
"1652",8493152
"1653",8493088
"1654",8493050
"1655",8493066
"1656",8494208
"1657",8493062
"1658",8494216
"1659",8494218
"1660",8494212
"1661",8494214
"1662",8491748
"1663",8491226
"1664",8491222
"1665",8491734
"1666",8491738
"1667",8491224
"1668",8491450
"1669",8491726
"1670",8491722
"1671",8491208
"1672",8491200
"1673",8491716
"1674",8491198
"1675",8491202
"1676",8491708
"1677",8491442
"1678",8491166
"1679",8491688
"1680",8491160
"1681",8491680
"1682",8491158
"1683",8491672
"1684",8491186
"1685",8491682
"1686",8491174
"1687",8491696
"1688",8491694
"1689",8491176
"1690",8491432
"1691",8491648
"1692",8491138
"1693",8491144
"1694",8491140
"1695",8491430
"1696",8491636
"1697",8491118
"1698",8491632
"1699",8491136
